tmin	text	tmax
70.477125	r	70.657125
70.657125	E	70.707125
70.707125	n	70.737125
70.737125	t	70.767125
70.767125	r	70.897125
70.897125	E	70.927125
70.927125	n	70.957125
70.957125	?	70.997125
70.997125	a	71.057125
71.057125	f	71.137125
71.137125	a	71.217125
71.217125	m	71.277125
71.277125	e:	71.377125
71.377125	s	71.407125
71.407125	<p:>	71.927125
71.927125	?	71.967125
71.967125	a:	72.147125
72.147125	t	72.177125
72.177125	e:	72.257125
72.257125	b	72.307125
72.307125	l	72.337125
72.337125	I	72.367125
72.367125	l	72.397125
72.397125	?	72.427125
72.427125	Y	72.457125
72.457125	p	72.487125
72.487125	s	72.517125
72.517125	i	72.697125
72.697125	l	72.797125
72.797125	O	72.827125
72.827125	n	72.857125
72.857125	a:	72.917125
72.917125	d	72.947125
72.947125	e	72.987125
72.987125	l	73.017125
73.017125	a	73.047125
73.047125	p	73.077125
73.077125	I	73.107125
73.107125	ts	73.147125
73.147125	a	73.217125
73.217125	g	73.307125
73.307125	a	73.347125
73.347125	r	73.407125
73.407125	n	73.487125
73.487125	i:	73.657125
73.657125	E	73.687125
73.687125	t	73.717125
73.717125	<p:>	73.807125
73.807125	d	73.857125
73.857125	@	73.917125
73.917125	s	73.947125
73.947125	l	74.077125
74.077125	a	74.147125
74.147125	z	74.267125
74.267125	a	74.377125
74.377125	g	74.407125
74.407125	n	74.457125
74.457125	@	74.487125
74.487125	?	74.577125
74.577125	aU	74.647125
74.647125	k	74.677125
74.677125	s	74.707125
74.707125	S	74.737125
74.737125	a	74.797125
74.797125	m	74.827125
74.827125	p	74.887125
74.887125	I	74.927125
74.927125	n	74.997125
74.997125	j	75.067125
75.067125	O	75.107125
75.107125	N	75.137125
75.137125	s	75.167125
75.167125	<p:>	75.617125
75.617125	r	75.697125
75.697125	a	75.767125
75.767125	s	75.847125
75.847125	a:	75.897125
75.897125	z	76.007125
76.007125	I	76.037125
76.037125	e:	76.157125
76.157125	s	76.187125
76.187125	I	76.217125
76.217125	l	76.247125
76.247125	s	76.277125
76.277125	s	76.337125
76.337125	E	76.397125
76.397125	k	76.437125
76.437125	s	76.537125
76.537125	k	76.577125
76.577125	l	76.607125
76.607125	a	76.687125
76.687125	m	76.727125
76.727125	@	76.757125
76.757125	n	76.797125
